timestamp, t_err_s
255, 0.2358052
256, 0.23606881
257, 0.23692584
258, 0.24097158
259, 0.24263324
260, 0.24325396
261, 0.24418844
262, 0.24297376
263, 0.24308948
264, 0.24489063
265, 0.24580921
266, 0.2454817
267, 0.24298024
268, 0.24089885
269, 0.2391436
270, 0.2369598
271, 0.23530152
272, 0.2347678
273, 0.23237725
274, 0.22971784
275, 0.23065792
276, 0.22803415
277, 0.22551972
278, 0.22483322
279, 0.22311611
280, 0.22244138
281, 0.22294366
282, 0.2222511
283, 0.21927644
284, 0.21960759
285, 0.21983312
286, 0.21781135
287, 0.21913835
288, 0.22034699
289, 0.21933058
290, 0.21807016
291, 0.21891716
292, 0.22107032
293, 0.22492805
294, 0.2263429
295, 0.227908
296, 0.2293381
297, 0.22837478
298, 0.22718011
299, 0.22664736
300, 0.22526439
301, 0.23689573
302, 0.23735106
303, 0.23587431
304, 0.23348334
305, 0.23098466
306, 0.22894678
307, 0.22684135
308, 0.22364308
309, 0.2225523
310, 0.2185416
311, 0.21616583
312, 0.21231091
313, 0.21085367
314, 0.20893723
315, 0.2093694
316, 0.20930952
317, 0.20996629
318, 0.20587039
319, 0.20122863
320, 0.19611171
321, 0.19337879
322, 0.19310524
323, 0.19511475
324, 0.19757307
325, 0.19771618
326, 0.18349046
327, 0.18216513
328, 0.18501614
329, 0.1853139
330, 0.18593048
331, 0.18810514
332, 0.18873799
333, 0.19508334
334, 0.20583253
335, 0.2129703
336, 0.22375062
337, 0.22404753
338, 0.22671236
339, 0.2289688
340, 0.24379767
341, 0.24641696
342, 0.24651857
343, 0.24666293
344, 0.24966545
345, 0.25676963
346, 0.26059145
347, 0.26366976
348, 0.2654951
349, 0.26557308
350, 0.2678665
351, 0.2828953
352, 0.2863462
353, 0.2843614
354, 0.2847999
355, 0.28732648
356, 0.2869876
357, 0.288356
358, 0.2867625
359, 0.27536005
360, 0.27036273
361, 0.25990996
362, 0.26048505
363, 0.2599645
364, 0.25881493
365, 0.2450042
366, 0.24196199
367, 0.23951566
368, 0.23850393
369, 0.23911393
370, 0.23650593
371, 0.23290043
372, 0.2297217
373, 0.22701831
374, 0.22322644
375, 0.2197902
376, 0.20622796
377, 0.20478298
378, 0.20499386
379, 0.2035164
380, 0.20325609
381, 0.20349993
382, 0.20202592
383, 0.20159309
384, 0.20007317
385, 0.19912992
386, 0.1994952
387, 0.20149437
388, 0.20123172
389, 0.20237269
390, 0.20195128
391, 0.199906
392, 0.20733777
393, 0.20911379
394, 0.20849909
395, 0.20684503
396, 0.2074817
397, 0.2056848
398, 0.21236783
399, 0.2121144
400, 0.21264282
401, 0.21089897
402, 0.20869163
403, 0.20591253
404, 0.20512265
405, 0.20056799
